state,admin1_pcode,township,admin3_pcode,total_population_2021proj,conflict_ranking,flood_ranking,vul_ranking,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,"crop, vegetable and seed kits",food distribution,multi-purpose cash transfer,food_cash for work_assets,IGA and small grants,vocational training,livestock kits,FFS and farmer training
Bago (West),MMR111,Pyay,MMR008001,255161.6996200912,101,6,282,59963,5995.700073931217,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Paukkhaung,MMR008002,126601.8493173508,309,9,96,29751,2974.8565479597282,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Padaung,MMR008003,146230.53035058329,257,6,229,34364,3435.5825874756074,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Paungde,MMR008004,139484.50209796958,157,9,173,32779,3278.114204676438,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Thegon,MMR008005,132788.15900759524,238,9,215,31205,3121.478336622012,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Shwedaung,MMR008006,123372.31377179622,271,4,227,28992,2898.750647812207,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Thayarwady,MMR008007,153216.87255117073,237,7,220,36006,3601.403540264511,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Letpadan,MMR008008,179887.66484464705,283,7,200,42274,4226.639906829322,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Minhla,MMR008009,124203.77975212738,267,8,243,29188,2919.2111911036827,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Okpho,MMR008010,128433.10243988504,234,4,236,30182,3017.822103149499,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Zigon,MMR008011,68467.1675486599,292,8,263,16090,1609.021562895462,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Nattalin,MMR008012,174548.03087827645,161,7,239,41019,4102.121277946048,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Monyo,MMR008013,129353.79891566637,241,3,159,30398,3040.1857368292294,0,NA,NA,NA,NA,NA,NA,NA,NA
Bago (West),MMR111,Gyobingauk,MMR008014,119075.0542295481,199,7,254,27983,2797.7362504699418,0,NA,NA,NA,NA,NA,NA,NA,NA
Chin,MMR004,Falam,MMR004001,51831.49727101556,58,9,40,30827,7707.251138876627,0,NA,NA,NA,NA,NA,NA,NA,NA
Chin,MMR004,Tedim,MMR004004,94465.77959061916,110,8,26,52712,13178.023747151421,0,NA,NA,NA,NA,NA,NA,NA,NA
Chin,MMR004,Tonzang,MMR004005,34367.46198817385,285,8,8,19177,5000,0,NA,NA,NA,NA,NA,NA,NA,NA
Chin,MMR004,Hakha,MMR004002,52127.97296104466,59,9,218,29200,20000,695,0,1286,0,0,0,0,0,0
Chin,MMR004,Thantlang,MMR004003,54307.87785282231,84,9,72,30920,7730.014039556785,1102,0,2090,0,0,0,0,0,0
Chin,MMR004,Matupi,MMR004007,55361.17512248934,53,9,82,30892,7723.116072157207,0,NA,NA,NA,NA,NA,NA,NA,NA
Chin,MMR004,Paletwa,MMR004009,104632.20052507173,139,6,35,62734,40000,9011,0,26936,0,0,0,0,0,0
Chin,MMR004,Mindat,MMR004006,45926.77961905409,25,9,49,27757,20000,4131,4131,0,0,0,0,0,0,0
Chin,MMR004,Kanpetlet,MMR004008,23171.461839256557,109,9,63,13461,5000,0,NA,NA,NA,NA,NA,NA,NA,NA
Kachin,MMR001,Bhamo,MMR001010,154328.6819752977,100,4,255,47502,11875.51480958475,19662,4048,28028,0,524,10,34,0,0
Kachin,MMR001,Shwegu,MMR001011,107655.37796938862,82,4,143,30515,7629.27225272046,549,0,1080,0,0,4,6,0,0
Kachin,MMR001,Momauk,MMR001012,71457.52921976405,20,8,123,37244,9310.76634196921,24272,3108,33722,0,359,10,8,0,0
Kachin,MMR001,Mansi,MMR001013,60134.76943987677,92,9,205,26268,6567.154605327822,17484,1740,31527,0,357,3,19,0,0
Kachin,MMR001,Mohnyin,MMR001007,237713.2149515665,49,9,232,62570,15642.46040479048,261,0,776,0,0,0,0,0,0
Kachin,MMR001,Mogaung,MMR001008,150615.76175055586,106,8,240,40665,10166.563581145812,2156,0,5201,20,0,0,0,0,0
Kachin,MMR001,Hpakant,MMR001009,376752.9342027131,14,7,287,101926,25481.447300020223,3735,0,11206,0,0,0,0,0,0
Kachin,MMR001,Myitkyina,MMR001001,360733.65404065774,21,5,278,103166,25791.498650643873,16276,4959,30956,100,0,0,0,0,0
