state,admin1_pcode,township,admin3_pcode,population_2021_proj,population_density,fs_pin,fs_targeted,group,conflict_score,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,flood_count,flood_prob,beneficiaries_2021,partners_2021,not_in_6months
Bago (East),MMR111,Shwegyin,MMR007008,108964.63070530172,44.02676370751646,25607,2561.331221257637,B2,0.00926492439546536,0,1,0,3,0,11,5,0.3333333333333333,0,0,1
Bago (East),MMR111,Taungoo,MMR007009,265720.30358739407,151.72678615196628,62444,6243.572894913285,B2,0.05024362026626448,5,3,3,6,4,6,3,0.2,0,0,1
Bago (East),MMR111,Yedashe,MMR007010,216579.6501669196,81.56600473008572,50896,5090.3782491838365,B2,0.01459499451653298,0,1,0,1,4,5,2,0.13333333333333333,0,0,1
Bago (East),MMR111,Kyaukkyi,MMR007011,114913.6683962809,56.02159696830596,28928,8000,B2,0.06048777313828801,13,6,0,6,2,52,5,0.3333333333333333,4357,2,0
Bago (East),MMR111,Phyu,MMR007012,260870.42336309663,111.04392448325919,61305,6129.545084729588,B2,0.0349462909150724,2,5,2,3,2,8,3,0.2,0,0,1
Bago (East),MMR111,Oktwin,MMR007013,162062.85939557207,111.2889881675877,38085,3807.522863995888,B2,0.00405262703264943,0,0,0,1,1,1,3,0.2,0,0,1
Bago (East),MMR111,Htantabin,MMR007014,118915.85891380176,215.68190344644566,27945,2795.477397053038,B2,0.0215358957396617,3,2,0,1,3,14,2,0.13333333333333333,0,0,1
Bago (West),MMR111,Pyay,MMR008001,255161.6996200912,320.0089060545159,59963,5995.700073931217,A2,0.11382699676765004,1,16,4,22,11,22,4,0.26666666666666666,0,0,1
Bago (West),MMR111,Paukkhaung,MMR008002,126601.8493173508,65.07417428115555,29751,2974.8565479597282,B2,0.00119772018997599,0,0,0,1,0,0,1,0.06666666666666667,0,0,1
Bago (West),MMR111,Padaung,MMR008003,146230.53035058329,57.33114159995835,34364,3435.5825874756074,B2,0.01882065805426299,0,5,0,9,0,0,4,0.26666666666666666,0,0,1
Bago (West),MMR111,Paungde,MMR008004,139484.50209796958,146.97493317745247,32779,3278.114204676438,B2,0.04466920323271433,1,8,0,5,8,12,1,0.06666666666666667,0,0,1
Bago (West),MMR111,Thegon,MMR008005,132788.15900759524,168.04188852053733,31205,3121.478336622012,B2,0.01436593358122327,0,2,0,6,1,4,1,0.06666666666666667,0,0,1
Bago (West),MMR111,Shwedaung,MMR008006,123372.31377179622,174.05978073694982,28992,2898.750647812207,B2,0.00446314211156924,0,1,0,0,1,1,6,0.4,0,0,1
Bago (West),MMR111,Thayarwady,MMR008007,153216.87255117073,144.9800117137064,36006,3601.403540264511,B2,0.01799962789642337,0,3,0,11,0,0,3,0.2,0,0,1
Bago (West),MMR111,Letpadan,MMR008008,179887.66484464705,120.45936551527755,42274,4226.639906829322,B2,0.00805630268149723,0,1,0,3,1,1,3,0.2,0,0,1
Bago (West),MMR111,Minhla,MMR008009,124203.77975212738,180.5229342203421,29188,2919.2111911036827,B2,0.00680963110771959,0,2,0,3,0,0,2,0.13333333333333333,0,0,1
Bago (West),MMR111,Okpho,MMR008010,128433.10243988504,120.47235131181279,30182,3017.822103149499,B2,0.01294318231938244,1,0,1,2,1,1,6,0.4,0,0,1
Bago (West),MMR111,Zigon,MMR008011,68467.1675486599,263.33283282890045,16090,1609.021562895462,B2,0.00395529391172643,0,2,0,0,0,2,2,0.13333333333333333,0,0,1
Bago (West),MMR111,Nattalin,MMR008012,174548.03087827645,126.90205463519796,41019,4102.121277946048,B2,0.02108645925035944,2,3,0,3,3,6,3,0.2,0,0,1
Bago (West),MMR111,Monyo,MMR008013,129353.79891566637,193.99912522394698,30398,3040.1857368292294,B2,0.01342301063283493,0,1,1,2,1,2,7,0.4666666666666667,0,0,1
Bago (West),MMR111,Gyobingauk,MMR008014,119075.0542295481,152.56372654521383,27983,2797.7362504699418,B2,0.02172318203779629,1,5,1,2,1,3,3,0.2,0,0,1
Chin,MMR004,Falam,MMR004001,51831.49727101556,17.90848230559596,30827,7707.251138876627,A2,0.08111154965361414,10,5,1,20,5,42,1,0.06666666666666667,0,0,1
Chin,MMR004,Tedim,MMR004004,94465.77959061916,36.13160376644647,52712,13178.023747151421,B2,0.05595425628542317,15,5,0,4,4,29,2,0.13333333333333333,760,1,0
Chin,MMR004,Tonzang,MMR004005,34367.46198817385,9.119912971759916,19177,5000,B2,0.00119772018997599,0,0,0,1,0,0,2,0.13333333333333333,490,1,0
Chin,MMR004,Hakha,MMR004002,52127.97296104466,11.223770441181514,29200,20000,A2,0.17673404444595903,27,8,7,21,5,115,1,0.06666666666666667,2912,1,1
Chin,MMR004,Thantlang,MMR004003,54307.87785282231,14.482704682972276,30920,7730.014039556785,A2,0.10420453912122224,15,7,0,16,4,112,1,0.06666666666666667,0,0,1
Chin,MMR004,Matupi,MMR004007,55361.17512248934,8.635335249083264,30892,7723.116072157207,B2,0.07230131607971739,10,5,1,9,2,74,1,0.06666666666666667,0,0,1
Chin,MMR004,Paletwa,MMR004009,104632.20052507173,11.910077933803407,62734,40000,B2,0.03237493880250704,3,5,1,8,0,11,4,0.26666666666666666,9726,2,0
Chin,MMR004,Mindat,MMR004006,45926.77961905409,12.986041644320776,27757,20000,A2,0.2853963664807971,74,6,1,27,7,295,1,0.06666666666666667,3117,2,0
Chin,MMR004,Kanpetlet,MMR004008,23171.461839256557,8.56469479524659,13461,5000,A2,0.07735692382351121,22,1,0,8,4,63,1,0.06666666666666667,0,0,1
Kachin,MMR001,Bhamo,MMR001010,154328.6819752977,63.004686533287,47502,11875.51480958475,A2,0.08732515786341417,8,12,1,23,6,20,6,0.4,11072,8,0
Kachin,MMR001,Shwegu,MMR001011,107655.37796938862,30.685977544347146,30515,7629.27225272046,A2,0.1450541265872452,32,13,1,9,6,120,6,0.4,1453,3,0
Kachin,MMR001,Momauk,MMR001012,71457.52921976405,33.697204664450965,37244,9310.76634196921,A2,0.3663404894849675,105,77,0,12,8,138,2,0.13333333333333333,23134,9,0
Kachin,MMR001,Mansi,MMR001013,60134.76943987677,24.869355476392105,26268,6567.154605327822,B2,0.05675526881949739,20,15,0,1,0,4,1,0.06666666666666667,13105,8,0
Kachin,MMR001,Mohnyin,MMR001007,237713.2149515665,33.0359675785554,62570,15642.46040479048,A2,0.19701949455271053,18,18,8,18,13,102,1,0.06666666666666667,2438,1,0
Kachin,MMR001,Mogaung,MMR001008,150615.76175055586,39.98216678967632,40665,10166.563581145812,A2,0.08506374755679742,12,4,6,8,5,4,2,0.13333333333333333,1563,3,0
Kachin,MMR001,Hpakant,MMR001009,376752.9342027131,57.57522787789535,101926,25481.447300020223,A2,0.4005326391057958,77,66,10,24,14,145,3,0.2,3822,2,0
Kachin,MMR001,Myitkyina,MMR001001,360733.65404065774,50.989516386777474,103166,25791.498650643873,A2,0.25752871754408524,12,23,20,32,14,15,5,0.3333333333333333,11081,4,0
Kachin,MMR001,Waingmaw,MMR001002,142592.4921061458,25.071304798093855,57138,14284.407250148079,A2,0.1692582037413074,40,36,2,12,8,13,3,0.2,15365,8,0
Kachin,MMR001,Injangyang,MMR001003,1967.200314852518,0.3672921590247968,933,232.7217121528395,B2,0.01628632324056841,9,1,0,1,0,0,NA,0,641,2,1
Kachin,MMR001,Tanai,MMR001004,68169.3970537721,4.861215210923626,18789,4696.98799300862,A2,0.11373356135653806,34,16,0,9,3,51,3,0.2,1926,2,0
Kachin,MMR001,Chipwi,MMR001005,22760.235051575986,5.888645774049136,7969,1991.5492061604696,B2,0.00479088075990398,0,0,0,4,0,0,NA,0,960,1,0
Kachin,MMR001,Tsawlaw,MMR001006,7403.124510513114,1.9657565069020682,1940,0,B2,0,NA,NA,NA,NA,NA,NA,2,0.13333333333333333,0,0,1
Kachin,MMR001,Puta-O,MMR001014,69368.79863141889,9.945512945542742,18542,4636.462735824779,B2,0.06312482029995413,12,2,0,16,5,28,NA,0,1560,2,1
Kachin,MMR001,Sumprabum,MMR001015,2891.7390309552607,0.5144904147332131,1646,410.6379127492752,B2,0.02680863077761357,11,0,0,1,1,18,NA,0,1698,1,1
Kachin,MMR001,Machanbaw,MMR001016,10060.889370071365,2.763964569375613,2636,659.011746469699,B2,0.0026955388323867302,1,0,0,1,0,0,NA,0,0,0,1
Kachin,MMR001,Nawngmun,MMR001017,8090.28166437326,0.8789985882328115,2120,0,B2,0.00847409610558601,0,0,0,5,1,0,1,0.06666666666666667,0,0,1
Kachin,MMR001,Khaunglanhpu,MMR001018,13237.713435107447,2.1895308723490365,3468,866.9297756888743,B2,0.00248549515570602,0,0,0,0,1,0,NA,0,0,0,1
Kayah,MMR002,Bawlake,MMR002005,12712.895004683189,5.643631762005174,4844,1000,B2,0.03951794735281969,11,2,0,5,2,24,1,0.06666666666666667,0,0,1
Kayah,MMR002,Hpasawng,MMR002006,29590.199595294787,17.924287463914663,11348,8000,B2,0.00599127456964293,4,0,0,0,0,0,2,0.13333333333333333,0,0,1
Kayah,MMR002,Mese,MMR002007,7305.63691656903,3.491897623651977,2982,900,B2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
Kayah,MMR002,Loikaw,MMR002001,148449.29351548982,83.5442951581021,69687,25000,A2,0.24568889085516096,29,25,11,30,15,56,1,0.06666666666666667,9709,4,0
Kayah,MMR002,Demoso,MMR002002,91567.29695033768,65.48166638433618,67077,25000,A2,0.3986184108747939,90,24,1,22,20,387,2,0.13333333333333333,4396,4,0
Kayah,MMR002,Hpruso,MMR002003,33960.40177042233,17.788651519030832,17007,4000,A2,0.07916809925944682,13,7,0,5,4,88,NA,0,3637,2,0
Kayah,MMR002,Shadaw,MMR002004,7794.683350452351,3.0975758391303407,2970,500,B2,0.00707933773600411,3,0,0,0,0,7,NA,0,4,1,0
Kayin,MMR003,Hpa-An,MMR003001,437422.79044545017,145.4624394076633,134831,15000,A2,0.1402039233534155,21,13,5,23,6,39,8,0.5333333333333333,7865,1,1
Kayin,MMR003,Hlaingbwe,MMR003002,275878.0378153535,61.546285153184904,90664,15000,B2,0.0173341206263347,1,4,0,3,1,9,8,0.5333333333333333,13503,3,0
Kayin,MMR003,Thandaunggyi,MMR003004,99662.77380742782,26.42217422644672,32704,7000,B2,0.0204775767422832,7,1,0,4,1,3,1,0.06666666666666667,3295,3,0
Kayin,MMR003,Hpapun,MMR003003,36403.91058003586,15.57680044277144,36403.91058003586,44320.23954264364,A2,0.3058836838045253,56,42,0,26,8,280,3,0.2,0,0,1
Kayin,MMR003,Kawkareik,MMR003006,228625.06669591743,91.35106673625347,70417,5000,A2,0.13287171303569217,25,11,3,11,2,111,7,0.4666666666666667,34057,3,0
Kayin,MMR003,Kyainseikgyi,MMR003007,264429.2491780408,35.43072285222603,81444,5000,A2,0.09871791476834885,14,14,2,10,9,23,8,0.5333333333333333,1342,1,1
Kayin,MMR003,Myawaddy,MMR003005,218454.5912361622,67.0896661511683,67353,5000,A2,0.2358326676956738,29,22,8,28,7,153,6,0.4,8046,2,1
Magway,MMR009,Gangaw,MMR009023,132523.7540308305,53.603635157139635,32767,3277.25118460458,A2,0.4305544328906761,30,39,4,45,18,540,1,0.06666666666666667,0,0,1
Magway,MMR009,Tilin,MMR009024,48583.26092104402,36.5979592722804,10202,1019.7515811746895,B2,0.0762742980005223,11,5,1,7,5,67,1,0.06666666666666667,0,0,1
Magway,MMR009,Saw,MMR009025,68299.51859151479,38.4902937265232,18217,1822.2941570613998,A2,0.15437215808422353,24,6,0,24,5,183,2,0.13333333333333333,938,1,0
Magway,MMR009,Magway,MMR009001,287573.41447282815,163.42058132727695,60390,6038.958296358604,A2,0.15974018963908382,2,20,9,26,11,28,7,0.4666666666666667,16853,1,1
Magway,MMR009,Yenangyaung,MMR009002,133450.36147114506,130.6205741023698,28025,2801.542483822312,B2,0.02552409235513235,0,4,1,6,2,2,7,0.4666666666666667,12512,2,0
Magway,MMR009,Chauk,MMR009003,184117.4949189052,184.62923089516073,38665,3865.532663203272,B2,0.01991218143738875,0,2,1,4,2,2,6,0.4,12613,2,0
Magway,MMR009,Taungdwingyi,MMR009004,258356.4478971576,131.6823705759589,54255,5424.514637587847,A2,0.17678362408489304,1,16,3,46,28,17,3,0.2,0,0,1
Magway,MMR009,Myothit,MMR009005,158588.06803864965,99.92111131072731,33303,3329.6506078513253,B2,0.04697210495144968,1,6,0,7,10,7,2,0.13333333333333333,20828,2,0
Magway,MMR009,Natmauk,MMR009006,205798.31943708163,89.44307077706787,43218,4322.2353046313865,B2,0.05094195555351406,1,4,0,13,10,7,2,0.13333333333333333,42,1,1
Magway,MMR009,Minbu,MMR009007,187093.17739622458,112.83233123672709,39290,3929.0432751559238,B2,0.02209930242325239,1,3,1,8,0,0,7,0.4666666666666667,12904,1,1
Magway,MMR009,Pwintbyu,MMR009008,162744.87673817252,135.82845401698512,34176,3418.3576259129213,A2,0.08561911983614248,1,14,3,18,7,11,5,0.3333333333333333,0,0,1
Magway,MMR009,Ngape,MMR009009,51840.30595802967,39.41849478608943,10886,1089.353689716822,B2,0.01846868863432656,0,0,2,3,1,0,1,0.06666666666666667,0,0,1
Magway,MMR009,Salin,MMR009010,234667.31111563844,101.61819908204654,49280,4927.986466608758,B2,0.03798991989736465,1,2,1,8,6,7,5,0.3333333333333333,7770,2,0
Magway,MMR009,Sidoktaya,MMR009011,47251.014172093855,16.790943805132798,9923,991.7287765617061,B2,0.00488093553565802,0,0,0,2,1,0,2,0.13333333333333333,0,0,1
Magway,MMR009,Pakokku,MMR009018,288460.2533534726,220.2297772133342,60577,6058.334698067766,A2,0.14593524846700845,2,18,9,12,12,38,6,0.4,46,1,1
Magway,MMR009,Yesagyo,MMR009019,214105.97155217687,216.8788872678808,44962,4495.77460870406,A2,0.26995692299446256,24,68,2,37,15,83,6,0.4,0,0,1
Magway,MMR009,Myaing,MMR009020,224464.6871322603,110.58710612410339,47138,4714.241582602502,A2,0.19205110859803867,13,37,2,21,13,117,2,0.13333333333333333,0,0,1
Magway,MMR009,Pauk,MMR009021,170521.6185816712,69.60365230670028,35810,3581.04601037606,A2,0.24340516487865616,12,31,0,36,20,224,2,0.13333333333333333,0,0,1
Magway,MMR009,Seikphyu,MMR009022,102174.37771855226,67.26112110071672,21457,2146.3381211759756,B2,0.01472558303755912,0,2,0,1,4,1,5,0.3333333333333333,12261,2,0
Magway,MMR009,Thayet,MMR009012,103743.24739753983,86.51524405027018,21786,2179.391875114487,B2,0.01694377744195597,2,3,0,4,1,5,5,0.3333333333333333,0,0,1
Magway,MMR009,Minhla,MMR009013,145236.76834338708,61.29720086114784,30500,3050.027865043446,B2,0.01160051186762358,0,2,0,7,0,0,5,0.3333333333333333,0,0,1
Magway,MMR009,Mindon,MMR009014,59013.55990853376,23.19948720319375,12393,1238.7153073514057,B2,0.00359316056992799,0,0,0,3,0,0,2,0.13333333333333333,0,0,1
Magway,MMR009,Kamma,MMR009015,74759.92110993135,65.45472779822003,15700,1570.0416577967449,B2,0.01277787020686854,1,1,0,6,1,0,5,0.3333333333333333,0,0,1
Magway,MMR009,Aunglan,MMR009016,233861.00356832598,87.68096652531628,49111,4910.918926403586,B2,0.02661924391047253,1,1,1,7,3,4,4,0.26666666666666666,0,0,1
Magway,MMR009,Sinbaungwe,MMR009017,117162.15364424167,57.17251643278881,24604,2459.59484021137,B2,0.00570981368534688,0,0,0,0,2,2,3,0.2,0,0,1
Mandalay,MMR010,Kyaukse,MMR010013,274709.3466889205,137.59102010968007,32416,3242.429766033835,A2,0.07768988945115968,3,12,4,9,5,16,NA,0,0,0,1
Mandalay,MMR010,Sintgaing,MMR010014,158619.83773306131,332.077142416661,18717,1872.2859584249468,B2,0.0754865162977018,2,7,2,11,9,36,6,0.4,0,0,1
Mandalay,MMR010,Myittha,MMR010015,208374.00606965614,219.4364002926349,24588,2459.1867425586734,B2,0.01853402279788063,0,7,0,4,1,0,NA,0,0,0,1
Mandalay,MMR010,Tada-U,MMR010016,147647.73934006476,147.76282840464387,17422,1741.7567097702458,B2,0.01533134435416547,1,2,1,1,1,2,5,0.3333333333333333,0,0,1
Mandalay,MMR010,Aungmyaythazan,MMR010001,283094.198504246,9441.59208360073,33405,3341.4885290733523,A1,0.07950148669237887,3,11,5,5,7,8,1,0.06666666666666667,3733,1,1
Mandalay,MMR010,Chanayethazan,MMR010002,210020.72620513552,16220.071930996817,24782,2477.755454915075,A1,0.4332886792371201,0,38,35,46,28,83,NA,0,0,0,1
Mandalay,MMR010,Mahaaungmyay,MMR010003,256821.2367566823,15974.92587613374,30305,3029.509485691361,A1,0.21963015264402871,5,26,12,21,23,37,NA,0,2118,1,1
Mandalay,MMR010,Chanmyathazi,MMR010004,302269.0082577384,9389.493368411573,35668,3567.2257168409606,A1,0.20906269830662952,5,38,7,18,24,43,NA,0,0,0,1
Mandalay,MMR010,Pyigyitagon,MMR010005,253183.75340437837,8330.833747478688,29876,2988.4317722113033,A1,0.09909546441258286,5,14,4,5,12,23,2,0.13333333333333333,10402,1,0
Mandalay,MMR010,Amarapura,MMR010006,253098.54149568605,1157.9296771978002,29866,2987.437274355215,B1,0.07559267894344697,0,12,1,10,14,9,3,0.2,7797,1,0
Mandalay,MMR010,Patheingyi,MMR010007,280906.3827485704,444.24856158296586,33147,3315.3047115730856,B2,0.04434318886697195,3,10,0,4,6,11,2,0.13333333333333333,0,0,1
Mandalay,MMR010,Meiktila,MMR010028,329837.1910174255,251.91454076803183,38921,3891.921147591971,A2,0.09240408447402296,2,6,7,13,6,16,NA,0,40,1,1
Mandalay,MMR010,Mahlaing,MMR010029,148510.50991557463,124.15877250627207,17524,1751.5760855914916,B2,0.02953736227916188,0,2,3,2,2,1,NA,0,188,1,1
Mandalay,MMR010,Thazi,MMR010030,215884.3706720267,99.27957873421741,25474,2546.564500546806,B2,0.01663163317877728,0,5,1,2,0,0,1,0.06666666666666667,40,1,1
Mandalay,MMR010,Wundwin,MMR010031,244728.60176438157,164.65514817460277,28878,2888.202513380018,B2,0.05365379236617998,1,1,3,4,9,13,NA,0,229,1,1
Mandalay,MMR010,Myingyan,MMR010017,294083.33927898115,279.32558084224723,34702,3469.816606201124,A2,0.337270425971753,14,20,10,43,44,166,5,0.3333333333333333,46608,1,1
Mandalay,MMR010,Taungtha,MMR010018,230755.97903655615,160.19174577491975,27229,2723.079449686694,A2,0.08609599621599455,2,8,2,17,13,14,5,0.3333333333333333,45,1,1
Mandalay,MMR010,Natogyi,MMR010019,188614.4295927627,140.950457884103,22257,2226.349785760861,B2,0.07057987362347962,3,7,2,4,4,75,NA,0,0,0,1
Mandalay,MMR010,Ngazun,MMR010021,132326.63815718322,129.10342330706462,15615,1560.5458019399339,B2,0.02640555006083727,1,3,0,9,3,5,3,0.2,0,0,1
Mandalay,MMR010,Kyaukpadaung,MMR010020,278971.0072723958,133.6282602282676,32919,3292.1421203210016,A2,0.09079652565202084,1,14,4,13,9,11,NA,0,0,0,1
Mandalay,MMR010,Nyaung-U,MMR010022,255579.27318749158,163.912737162968,30158,3016.1645853686555,B2,0.07015006955835613,0,5,5,6,8,11,6,0.4,71547,1,1
Mandalay,MMR010,Pyinoolwin,MMR010008,272154.0545770091,128.25795413023565,32114,3210.5822103578134,B2,0.04226409912065886,2,1,3,9,2,9,1,0.06666666666666667,0,0,1
Mandalay,MMR010,Madaya,MMR010009,274809.470681634,234.70233974895402,32428,3243.2482649609665,A2,0.17357897741413278,4,17,2,36,28,41,3,0.2,779,1,1
Mandalay,MMR010,Singu,MMR010010,167851.48289101702,104.41697839792185,19806,1981.3525646218368,B2,0.05552202804047587,1,5,1,7,11,11,6,0.4,0,0,1
Mandalay,MMR010,Mogoke,MMR010011,178038.56657518548,141.83107109160767,21009,2101.1449244088303,A2,0.2931751797540419,13,25,10,63,29,65,1,0.06666666666666667,0,0,1
Mandalay,MMR010,Thabeikkyin,MMR010012,174366.9984594045,63.41473935928963,20575,2058.469525275091,B2,0.04364350385374093,1,5,1,6,7,9,7,0.4666666666666667,0,0,1
Mandalay,MMR010,Yamethin,MMR010023,274905.3340789128,119.95049770550389,32439,3244.117062092947,B2,0,NA,NA,NA,NA,NA,NA,1,0.06666666666666667,0,0,1
Mandalay,MMR010,Pyawbwe,MMR010024,277250.79186566925,157.89602529389026,32716,3272.4407153383586,B2,0.00354477883280663,0,1,0,1,0,2,NA,0,0,0,1
Mon,MMR011,Mawlamyine,MMR011001,278680.7196406106,2082.624832369358,44000.17344512815,0,A1,0.13752244119287266,0,10,13,18,6,12,6,0.4,8558,1,1
Mon,MMR011,Kyaikmaraw,MMR011002,188565.08118107164,148.5770092854094,24000.13167079307,0,B2,0.00726909757044104,0,2,0,1,1,1,5,0.3333333333333333,28590,1,1
Mon,MMR011,Chaungzon,MMR011003,117607.3699214522,302.02872083229533,12000.006948041786,0,B2,0.01454604313273134,0,2,0,2,3,4,4,0.26666666666666666,583,1,1
Mon,MMR011,Thanbyuzayat,MMR011004,164226.21257492076,221.19043183432143,23000.148475104626,0,B2,0.02115157466599742,0,3,1,1,3,4,3,0.2,0,0,1
Mon,MMR011,Mudon,MMR011005,183679.78085508436,261.31259738414485,27000.299476739117,0,B2,0.03074061453097436,0,1,1,12,3,3,3,0.2,0,0,1
Mon,MMR011,Ye,MMR011006,253869.98090638287,96.9426980309231,61437,10000,A2,0.22842025722716824,20,33,7,36,13,72,2,0.13333333333333333,0,0,1
